Player_Name,Role,Runs_Scored,Wickets_Taken,T_Matches_Played,T_Innings_Batted,T_Overs_Bowled,Batting_Style,Bowling_Style
RA Tripathi,Top order Batter,2291.0,0.0,100.0,98.0,0.0,Right hand Bat,Right arm Medium
RD Chahar,Bowler,0.0,75.0,0.0,0.0,278.2,Right hand Bat,Legbreak Googly
RD Gaikwad,Batter,2502.0,0.0,71.0,70.0,0.0,Right hand Bat,Right arm Offbreak
RG Sharma,Top order Batter,7046.0,0.0,272.0,267.0,0.0,Right hand Bat,Right arm Offbreak
RJ Harris,Bowler,0.0,45.0,0.0,0.0,138.4,Right hand Bat,Right arm Fast
RK Singh,Middle order Batter,1099.0,0.0,59.0,51.0,0.0,Left hand Bat,Right arm Offbreak
RM Patidar,Top order Batter,1111.0,0.0,42.0,38.0,0.0,Right hand Bat,Right arm Offbreak
RP Singh,Bowler,0.0,90.0,0.0,0.0,295.5,Right hand Bat,Left arm Fast medium
RR Pant,Wicketkeeper Batter,3553.0,0.0,125.0,123.0,0.0,Left hand Bat,Unknown
RS Bopara,Batting Allrounder,531.0,0.0,24.0,22.0,0.0,Right hand Bat,Right arm Medium
RV Uthappa,Batter,4952.0,0.0,205.0,197.0,0.0,Right hand Bat,Right arm Medium
Rashid Khan,Bowling Allrounder,585.0,158.0,136.0,68.0,531.3,Right hand Bat,Legbreak Googly
Ravi Bishnoi,Bowler,0.0,72.0,0.0,0.0,272.1,Right hand Bat,Legbreak Googly
S Aravind,Bowler,0.0,45.0,0.0,0.0,126.4,Left hand Bat,Left arm Medium fast
S Badrinath,Middle order Batter,1441.0,0.0,95.0,67.0,0.0,Right hand Bat,Right arm Offbreak
S Dhawan,Opening Batter,6769.0,0.0,222.0,221.0,0.0,Left hand Bat,Right arm Offbreak
S Dube,Allrounder,1859.0,0.0,79.0,75.0,0.0,Left hand Bat,Right arm Medium
S Gopal,Allrounder,0.0,52.0,0.0,0.0,165.1,Right hand Bat,Legbreak
S Kaul,Bowler,0.0,58.0,0.0,0.0,201.3,Right hand Bat,Right arm Medium
S Nadeem,Bowler,0.0,48.0,0.0,0.0,235.5,Right hand Bat,Slow Left arm Orthodox
S Sreesanth,Bowler,0.0,40.0,0.0,0.0,146.4,Right hand Bat,Right arm Fast medium
SA Yadav,Batter,4311.0,0.0,166.0,151.0,0.0,Right hand Bat,"Right arm Medium, Right arm Offbreak"
SB Jakati,Bowler,0.0,47.0,0.0,0.0,180.5,Left hand Bat,Slow Left arm Orthodox
SC Ganguly,Batter,1349.0,0.0,59.0,56.0,0.0,Left hand Bat,Right arm Medium
SE Marsh,Top order Batter,2477.0,0.0,71.0,69.0,0.0,Left hand Bat,Slow Left arm Orthodox
SK Raina,Middle order Batter,5528.0,0.0,205.0,200.0,0.0,Left hand Bat,Right arm Offbreak
SK Trivedi,Bowler,0.0,65.0,0.0,0.0,251.0,Right hand Bat,Right arm Medium
SK Warne,Bowler,0.0,57.0,0.0,0.0,199.0,Right hand Bat,Legbreak Googly
SL Malinga,Bowler,0.0,170.0,0.0,0.0,471.1,Right hand Bat,Right arm Fast
SM Curran,Allrounder,997.0,59.0,64.0,53.0,208.5,Left hand Bat,Left arm Medium fast
SN Khan,Middle order Batter,585.0,0.0,50.0,37.0,0.0,Right hand Bat,Legbreak
SN Thakur,Bowler,0.0,107.0,0.0,0.0,345.0,Right hand Bat,Right arm Medium
SO Hetmyer,Middle order Batter,1482.0,0.0,86.0,79.0,0.0,Left hand Bat,Unknown
SP Narine,Bowling Allrounder,1780.0,192.0,189.0,122.0,724.1,Left hand Bat,Right arm Offbreak
SPD Smith,Top order Batter,2485.0,0.0,103.0,93.0,0.0,Right hand Bat,Legbreak Googly
SR Tendulkar,Top order Batter,2334.0,0.0,78.0,78.0,0.0,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
SR Watson,Allrounder,3874.0,92.0,145.0,141.0,338.1,Right hand Bat,Right arm Fast medium
SS Iyer,Top order Batter,3731.0,0.0,133.0,132.0,0.0,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
SS Tiwary,Top order Batter,1494.0,0.0,93.0,74.0,0.0,Left hand Bat,Unknown
ST Jayasuriya,Allrounder,768.0,0.0,30.0,30.0,0.0,Left hand Bat,Slow Left arm Orthodox
STR Binny,Allrounder,880.0,0.0,95.0,68.0,0.0,Right hand Bat,Right arm Medium
SV Samson,Wicketkeeper Batter,4704.0,0.0,177.0,172.0,0.0,Right hand Bat,Unknown
Sandeep Sharma,Bowler,0.0,146.0,0.0,0.0,506.5,Right hand Bat,Right arm Medium
Shahbaz Ahmed,Allrounder,545.0,0.0,58.0,38.0,0.0,Left hand Bat,Slow Left arm Orthodox
Shakib Al Hasan,Allrounder,793.0,63.0,71.0,52.0,247.2,Left hand Bat,Slow Left arm Orthodox
Shashank Singh,Batting Allrounder,773.0,0.0,41.0,33.0,0.0,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Shubman Gill,Middle order Batter,3866.0,0.0,118.0,115.0,0.0,Right hand Bat,Right arm Offbreak
T Natarajan,Bowler,0.0,67.0,0.0,0.0,225.5,Left hand Bat,Left arm Medium
T Stubbs,Batter,705.0,0.0,32.0,30.0,0.0,Right hand Bat,Right arm Offbreak
TA Boult,Bowler,0.0,143.0,0.0,0.0,447.1,Right hand Bat,Left arm Fast medium
TG Southee,Bowler,0.0,47.0,0.0,0.0,201.0,Right hand Bat,Right arm Medium fast
TH David,Middle order Batter,846.0,0.0,50.0,44.0,0.0,Right hand Bat,Right arm Offbreak
TL Suman,Batter,676.0,0.0,43.0,40.0,0.0,Right hand Bat,Right arm Offbreak
TM Dilshan,Allrounder,1153.0,0.0,52.0,50.0,0.0,Right hand Bat,Right arm Offbreak
TM Head,Top order Batter,1146.0,0.0,38.0,37.0,0.0,Left hand Bat,Right arm Offbreak
TU Deshpande,Bowler,0.0,51.0,0.0,0.0,160.5,Left hand Bat,Right arm Medium
Tilak Varma,Batting Allrounder,1499.0,0.0,54.0,51.0,0.0,Left hand Bat,Right arm Offbreak
UT Yadav,Bowler,0.0,144.0,0.0,0.0,508.2,Right hand Bat,Right arm Fast
V Kohli,Top order Batter,8661.0,0.0,267.0,259.0,0.0,Right hand Bat,Right arm Medium
V Sehwag,Top order Batter,2728.0,0.0,104.0,104.0,0.0,Right hand Bat,Right arm Offbreak
V Shankar,Allrounder,1233.0,0.0,78.0,65.0,0.0,Right hand Bat,Right arm Medium
VR Aaron,Bowler,0.0,44.0,0.0,0.0,165.4,Right hand Bat,Right arm Fast
VR Iyer,Allrounder,1468.0,0.0,62.0,56.0,0.0,Left hand Bat,Right arm Medium
WP Saha,Wicketkeeper Batter,2934.0,0.0,170.0,145.0,0.0,Right hand Bat,Unknown
Washington Sundar,Bowling Allrounder,0.0,39.0,0.0,0.0,186.3,Left hand Bat,Right arm Offbreak
Y Venugopal Rao,Middle order Batter,985.0,0.0,65.0,54.0,0.0,Right hand Bat,Right arm Offbreak
YBK Jaiswal,Opening Batter,2166.0,0.0,67.0,66.0,0.0,Left hand Bat,Legbreak
YK Pathan,Allrounder,3204.0,42.0,174.0,154.0,191.1,Right hand Bat,Right arm Offbreak
YS Chahal,Bowler,0.0,221.0,0.0,0.0,631.5,Right hand Bat,Legbreak Googly
Yash Dayal,Bowler,0.0,41.0,0.0,0.0,145.1,Right hand Bat,Left arm Medium fast
Yuvraj Singh,Middle order Batter,2750.0,0.0,132.0,126.0,0.0,Left hand Bat,Slow Left arm Orthodox
Z Khan,Bowler,0.0,102.0,0.0,0.0,366.4,Right hand Bat,Left arm Fast medium
Unknown Player,Unknown Role,1305.0,63.0,51.0,51.0,254.0,,
Unknown Player,Unknown Role,1305.0,46.0,51.0,51.0,133.0,,
Unknown Player,Unknown Role,1305.0,40.0,51.0,51.0,154.4,,
Unknown Player,Unknown Role,680.0,63.0,42.0,35.0,254.0,,
Unknown Player,Unknown Role,680.0,46.0,42.0,35.0,133.0,,
Unknown Player,Unknown Role,680.0,40.0,42.0,35.0,154.4,,
